title,director,year,runtime,countries,genres,premiere_status,session_date,session_venue,session_time,film_url
Bush Boots,Isabel Dilena,2025,15 mins,Australia,Documentary,,2025-08-19,ACMI,10:30am,https://miff.com.au/program/film/bush-boots
Folktales,Rachel Grady,2025,106 mins,"USA, Norway",Documentary,Australian Premiere,2025-08-15,ACMI,10:00am,https://miff.com.au/program/film/folktales
Folktales,Rachel Grady,2025,106 mins,"USA, Norway",Documentary,Australian Premiere,2025-08-22,ACMI,10:45am,https://miff.com.au/program/film/folktales
Went up the Hill,Samuel Van Grinsven,2024,100 mins,"Australia, New Zealand","Drama, Horror",Victorian Premiere,2025-08-10,Capitol113 Swanston StSpreadsheet Champions1:00pmWent up the Hill3:45pmFirst Light6:45pm Went up the Hill3:45pm Went up the Hill3:45pm Went up the Hill,1:00pm,https://miff.com.au/program/film/went-up-the-hill
Went up the Hill,Samuel Van Grinsven,2024,100 mins,"Australia, New Zealand","Drama, Horror",Victorian Premiere,2025-08-12,Unknown,6:30pm,https://miff.com.au/program/film/went-up-the-hill
Lucky Lu,Lloyd Lee Choi,2025,103 mins,"USA, Canada",Drama,Australian Premiere,2025-08-12,ACMI,11:00am,https://miff.com.au/program/film/lucky-lu
Lucky Lu,Lloyd Lee Choi,2025,103 mins,"USA, Canada",Drama,Australian Premiere,2025-08-23,Hoyts 7Level 3,1:00pm,https://miff.com.au/program/film/lucky-lu
Pasa Faho,Kalu Oji,2025,86 mins,Australia,Drama,World Premiere,2025-08-16,Forum154 Flinders StreetHomebound10:00amSignorinella: Little Miss1:00pmBlue Moon3:45pmPasa Faho6:30pmPeter Hujar's Day9:15pm Pasa Faho6:30pm Pasa Faho6:30pm Pasa Faho,10:00am,https://miff.com.au/program/film/pasa-faho
Pasa Faho,Kalu Oji,2025,86 mins,Australia,Drama,World Premiere,2025-08-20,Forum154 Flinders StreetCutting Through Rocks10:30amIt Was Just an Accident1:00pmEnzo3:30pmPasa Faho6:00pmA Useful Ghost8:45pm Pasa Faho6:00pm Pasa Faho6:00pm Pasa Faho,10:30am,https://miff.com.au/program/film/pasa-faho
Pasa Faho,Kalu Oji,2025,86 mins,Australia,Drama,World Premiere,2025-08-24,Hoyts 3Level 3,1:30pm,https://miff.com.au/program/film/pasa-faho
