date,film_title,film_id,film_url,venue,time,context
2025-08-08,The Mastermind,the-mastermind,https://miff.com.au/program/film/the-mastermind,Capitol113 Swanston StTwinless6:30pmThe Mastermind9:00pm The Mastermind9:00pm The Mastermind9:00pm The Mastermind,6:30pm,The Capitol113 Swanston StTwinless6:30pmThe Mastermind9:00pm The Mastermind9:00pm The Mastermind9:00pm The Mastermind 
2025-08-09,The Legend of Ochi,the-legend-of-ochi,https://miff.com.au/program/film/the-legend-of-ochi,ACMI,10:45am,"ACMI 1Federation Square, Flinders StThe Legend of Ochi10:45amIron Winter1:15pmAnimation ShortsAs If the Earth Had Swallowed Them UpCariesThe Fix-It-Man And The Fix-It-WoomanGlassesMurmurationRetiremen"
2025-08-09,Iron Winter,iron-winter,https://miff.com.au/program/film/iron-winter,ACMI,10:45am,"ACMI 1Federation Square, Flinders StThe Legend of Ochi10:45amIron Winter1:15pmAnimation ShortsAs If the Earth Had Swallowed Them UpCariesThe Fix-It-Man And The Fix-It-WoomanGlassesMurmurationRetiremen"
2025-08-09,Animation Shorts,animation-shorts,https://miff.com.au/program/film/animation-shorts,ACMI,10:45am,"ACMI 1Federation Square, Flinders StThe Legend of Ochi10:45amIron Winter1:15pmAnimation ShortsAs If the Earth Had Swallowed Them UpCariesThe Fix-It-Man And The Fix-It-WoomanGlassesMurmurationRetiremen"
2025-08-09,As If the Earth Had Swallowed Them Up,as-if-the-earth-had-swallowed-them-up,https://miff.com.au/program/film/as-if-the-earth-had-swallowed-them-up,ACMI,10:45am,"ACMI 1Federation Square, Flinders StThe Legend of Ochi10:45amIron Winter1:15pmAnimation ShortsAs If the Earth Had Swallowed Them UpCariesThe Fix-It-Man And The Fix-It-WoomanGlassesMurmurationRetiremen"
2025-08-09,Caries,caries,https://miff.com.au/program/film/caries,ACMI,10:45am,"ACMI 1Federation Square, Flinders StThe Legend of Ochi10:45amIron Winter1:15pmAnimation ShortsAs If the Earth Had Swallowed Them UpCariesThe Fix-It-Man And The Fix-It-WoomanGlassesMurmurationRetiremen"
2025-08-09,The Fix-It-Man And The Fix-It-Wooman,the-fix-it-man-and-the-fix-it-wooman,https://miff.com.au/program/film/the-fix-it-man-and-the-fix-it-wooman,ACMI,10:45am,"ACMI 1Federation Square, Flinders StThe Legend of Ochi10:45amIron Winter1:15pmAnimation ShortsAs If the Earth Had Swallowed Them UpCariesThe Fix-It-Man And The Fix-It-WoomanGlassesMurmurationRetiremen"
2025-08-09,Glasses,glasses,https://miff.com.au/program/film/glasses,ACMI,10:45am,"ACMI 1Federation Square, Flinders StThe Legend of Ochi10:45amIron Winter1:15pmAnimation ShortsAs If the Earth Had Swallowed Them UpCariesThe Fix-It-Man And The Fix-It-WoomanGlassesMurmurationRetiremen"
2025-08-09,Murmuration,murmuration,https://miff.com.au/program/film/murmuration,ACMI,10:45am,"ACMI 1Federation Square, Flinders StThe Legend of Ochi10:45amIron Winter1:15pmAnimation ShortsAs If the Earth Had Swallowed Them UpCariesThe Fix-It-Man And The Fix-It-WoomanGlassesMurmurationRetiremen"
2025-08-09,Retirement Plan,retirement-plan,https://miff.com.au/program/film/retirement-plan,ACMI,10:45am,"ACMI 1Federation Square, Flinders StThe Legend of Ochi10:45amIron Winter1:15pmAnimation ShortsAs If the Earth Had Swallowed Them UpCariesThe Fix-It-Man And The Fix-It-WoomanGlassesMurmurationRetiremen"
2025-08-09,Shadows,shadows,https://miff.com.au/program/film/shadows,ACMI,10:45am,"ACMI 1Federation Square, Flinders StThe Legend of Ochi10:45amIron Winter1:15pmAnimation ShortsAs If the Earth Had Swallowed Them UpCariesThe Fix-It-Man And The Fix-It-WoomanGlassesMurmurationRetiremen"
2025-08-09,Water Girl,water-girl,https://miff.com.au/program/film/water-girl,ACMI,10:45am,"ACMI 1Federation Square, Flinders StThe Legend of Ochi10:45amIron Winter1:15pmAnimation ShortsAs If the Earth Had Swallowed Them UpCariesThe Fix-It-Man And The Fix-It-WoomanGlassesMurmurationRetiremen"
2025-08-09,Chain Reactions,chain-reactions,https://miff.com.au/program/film/chain-reactions,ACMI,10:45am,"ACMI 1Federation Square, Flinders StThe Legend of Ochi10:45amIron Winter1:15pmAnimation ShortsAs If the Earth Had Swallowed Them UpCariesThe Fix-It-Man And The Fix-It-WoomanGlassesMurmurationRetiremen"
2025-08-09,The Texas Chainsaw Massacre – Retro Screening Experience,the-texas-chainsaw-massacre-retro-screening-experience,https://miff.com.au/program/film/the-texas-chainsaw-massacre-retro-screening-experience,ACMI,10:45am,"ACMI 1Federation Square, Flinders StThe Legend of Ochi10:45amIron Winter1:15pmAnimation ShortsAs If the Earth Had Swallowed Them UpCariesThe Fix-It-Man And The Fix-It-WoomanGlassesMurmurationRetiremen"
2025-08-09,Samsara,samsara,https://miff.com.au/program/film/samsara,ACMI,11:15am,"ACMI 2Federation Square, Flinders StSamsara11:15amThe Sealed Soil1:30pmLittle, Big, and Far3:45pmInternational Shorts 2Bleat!A Brighter Summer Day for the Lady AvengersI’m Glad You’re Dead NowInflatab"
2025-08-09,The Sealed Soil,the-sealed-soil,https://miff.com.au/program/film/the-sealed-soil,ACMI,11:15am,"ACMI 2Federation Square, Flinders StSamsara11:15amThe Sealed Soil1:30pmLittle, Big, and Far3:45pmInternational Shorts 2Bleat!A Brighter Summer Day for the Lady AvengersI’m Glad You’re Dead NowInflatab"
2025-08-09,"Little, Big, and Far",little-big-and-far,https://miff.com.au/program/film/little-big-and-far,ACMI,11:15am,"ACMI 2Federation Square, Flinders StSamsara11:15amThe Sealed Soil1:30pmLittle, Big, and Far3:45pmInternational Shorts 2Bleat!A Brighter Summer Day for the Lady AvengersI’m Glad You’re Dead NowInflatab"
2025-08-09,International Shorts 2,international-shorts-2,https://miff.com.au/program/film/international-shorts-2,ACMI,11:15am,"ACMI 2Federation Square, Flinders StSamsara11:15amThe Sealed Soil1:30pmLittle, Big, and Far3:45pmInternational Shorts 2Bleat!A Brighter Summer Day for the Lady AvengersI’m Glad You’re Dead NowInflatab"
2025-08-09,Bleat!,bleat,https://miff.com.au/program/film/bleat,ACMI,11:15am,"ACMI 2Federation Square, Flinders StSamsara11:15amThe Sealed Soil1:30pmLittle, Big, and Far3:45pmInternational Shorts 2Bleat!A Brighter Summer Day for the Lady AvengersI’m Glad You’re Dead NowInflatab"
2025-08-09,A Brighter Summer Day for the Lady Avengers,a-brighter-summer-day-for-the-lady-avengers,https://miff.com.au/program/film/a-brighter-summer-day-for-the-lady-avengers,ACMI,11:15am,"ACMI 2Federation Square, Flinders StSamsara11:15amThe Sealed Soil1:30pmLittle, Big, and Far3:45pmInternational Shorts 2Bleat!A Brighter Summer Day for the Lady AvengersI’m Glad You’re Dead NowInflatab"
2025-08-09,I’m Glad You’re Dead Now,im-glad-youre-dead-now,https://miff.com.au/program/film/im-glad-youre-dead-now,ACMI,11:15am,"ACMI 2Federation Square, Flinders StSamsara11:15amThe Sealed Soil1:30pmLittle, Big, and Far3:45pmInternational Shorts 2Bleat!A Brighter Summer Day for the Lady AvengersI’m Glad You’re Dead NowInflatab"
